id,object_name,chain,object_type,address,number,number_original,object_type_short,street,street_length
175920,Кальянная «Лаундж-бар ОБЛАКО»,False,бар,"город Москва, микрорайон Северное Чертаново, дом 1А",36.0,36,бар,микрорайон Северное Чертаново,29
206437,Кальян-бар,False,бар,"город Москва, 6-я Радиальная улица, дом 5, корпус 4",24.0,24,бар,6-я Радиальная улица,20
211686,Кафе «Чикаго»,False,кафе,"город Москва, Варшавское шоссе, дом 141, корпус 11",18.0,18,кафе,Варшавское шоссе,16
215542,Кальянная «Great Als Lounge»,False,кафе,"город Москва, Варшавское шоссе, дом 141, корпус 11",15.0,15,кафе,Варшавское шоссе,16
195742,Бистро «Молодо-Зелено»,False,кафе,"город Москва, Варшавское шоссе, дом 141, корпус 10",18.0,18,кафе,Варшавское шоссе,16
221374,В кафе,False,кафе,"город Москва, Электролитный проезд, дом 16, корпус 7",20.0,20,кафе,Электролитный проезд,20
206227,Кафе «Фреш Маркет»,False,кафе,"город Москва, Шмитовский проезд, дом 16, строение 1",45.0,45,кафе,Шмитовский проезд,17
149462,Корнер,False,кафе,"город Москва, Композиторская улица, дом 17",25.0,25,кафе,Композиторская улица,20
220305,Do Do пицца,False,кафе,"город Москва, Сокольническая площадь, дом 9",30.0,30,кафе,Сокольническая площадь,22
221248,Tako Project,False,кафе,"город Москва, Весковский переулок, дом 3",24.0,24,кафе,Весковский переулок,19
218808,Булочная «Батон»,False,кафе,"город Москва, Большой Тишинский переулок, дом 10, строение 1",15.0,15,кафе,Большой Тишинский переулок,26
217872,КУ РАМЕН ИЗАКАЯ БАР,False,кафе,"город Москва, Большая Грузинская улица, дом 69",70.0,70,кафе,Большая Грузинская улица,24
206655,THE Y,False,ресторан,"город Москва, Малая Пироговская улица, дом 8",190.0,190,ресторан,Малая Пироговская улица,23
214775,Пекарня,False,кафе,"город Москва, поселение Внуковское, улица Лётчика Ульянина, дом 4",11.0,11,кафе,поселение Внуковское,20
217506,Пекарня,False,кафе,"город Москва, поселение Внуковское, улица Лётчика Ульянина, дом 6",3.0,3,кафе,поселение Внуковское,20
221232,Кафе «Дом друзей»,False,кафе,"город Москва, поселение Сосенское, деревня Сосенки, дом 39",32.0,32,кафе,поселение Сосенское,19
218902,Панда,False,кафе,"город Москва, город Московский, Радужная улица, дом 2",15.0,15,кафе,Радужная улица,14
221111,Кафе Моремания,False,кафе,"город Москва, поселение Краснопахорское, село Красная Пахра, дом 5",46.0,46,кафе,поселение Краснопахорское,25
217321,Кальянная - компьютерный клуб,False,кафе,"город Москва, поселение Десеновское, 3-я Нововатутинская улица, дом 13, корпус 1",10.0,10,кафе,поселение Десеновское,21
218120,13 RULES KRAFT BEER,False,бар,"город Москва, Артековская улица, дом 1",12.0,12,бар,Артековская улица,17
219173,Бонжур Сити,False,закусочная,"город Москва, поселение Сосенское, посёлок Коммунарка, Лазурная улица, дом 6",10.0,0,закусочная,поселение Сосенское,19
215097,Пекарня,False,кафе,"город Москва, поселение Внуковское, улица Лётчика Ульянина, дом 2",1.0,1,кафе,поселение Внуковское,20
205372,Кофе Баристо,False,кафе,"город Москва, поселение Сосенское, посёлок Коммунарка, дом 9",35.0,0,кафе,поселение Сосенское,19
209426,Доминос Пицца,False,кафе,"город Москва, поселение Сосенское, посёлок Коммунарка, дом 30",35.0,0,кафе,поселение Сосенское,19
209354,Кафе,False,кафе,"город Москва, поселение Сосенское, посёлок Коммунарка, дом 30",35.0,35,кафе,поселение Сосенское,19
211245,Yoyosushi,False,кафе,"город Москва, проспект Маршала Жукова, дом 49",35.0,0,кафе,проспект Маршала Жукова,23
218589,Мята,False,бар,"город Москва, Авиационная улица, дом 77, корпус 2",74.0,74,бар,Авиационная улица,17
212044,SHISHKIN VILLAGE,False,кафе,"город Москва, Скобелевская улица, дом 14",35.0,35,кафе,Скобелевская улица,18
206932,МИНДАЛЬ И КОФЕ,False,кафе,"город Москва, Большая Татарская улица, дом 35, строение 3",10.0,10,кафе,Большая Татарская улица,23
